ingredient,Index,servings/block,Price/serving,min aLCM,max aLCM,,units used,cost,waste,aLCM,total cost,total waste
Oat Flour,1,13.29931973,1.47,300,500,,,,,,,
Vanilla Rice Protein,2,5.600574713,3.48,,,,,,,,,
Maltodextrin,3,35.89393939,0.66,,,,,,,,,
Psyllium Husk Powder,4,129.9230769,0.13,,,,,,,,,
Potassium Citrate,5,52.4,0.4,,,,,,,,,
Calcium Citrate,6,66.47619048,0.21,,,,,,,,,
Iodized Salt,7,896,0.01,,,,,,,,,
Choline Bitartrate,8,234.25,0.08,,,,,,,,,
Magnesium Citrate,9,232.6666667,0.06,,,,,,,,,
Stevia Powder,10,328,0.07,,,,,,,,,
Xanthan Gum,11,799.5,0.02,,,,,,,,,
One Daily Superfood Multivitamin,12,30.28125,0.32,,,,,,,,,
Canola Oil,13,29.375,0.4,,,,,,,,,
